Date,Open,High,Low,Close,Volume,Adj Close
2017-04-21,44.59,44.740002,44.400002,44.43,11510600,44.43
2017-04-20,44.259998,44.630001,44.169998,44.529999,10878300,44.529999
2017-04-19,44.439999,44.540001,44.080002,44.189999,10680100,44.189999
2017-04-18,44.209999,44.580002,44.139999,44.52,10446700,44.52
2017-04-17,44.119999,44.360001,44.00,44.290001,10999300,44.290001
2017-04-13,44.189999,44.450001,43.98,44.00,11801700,44.00
2017-04-12,44.330002,44.41,44.029999,44.18,8429700,44.18
2017-04-11,43.889999,44.450001,43.759998,44.169998,15404800,44.169998
2017-04-10,44.209999,44.450001,43.959999,44.00,11668600,44.00
2017-04-07,44.09,44.389999,43.990002,44.290001,13446600,44.10
2017-04-06,44.529999,44.529999,44.139999,44.18,11557800,43.990471
2017-04-05,44.740002,44.970001,44.41,44.490002,9445100,44.299143
2017-04-04,44.610001,44.740002,44.380001,44.59,9161300,44.398712
2017-04-03,44.68,45.049999,44.400002,44.610001,16044300,44.418627
2017-03-31,44.50,44.849998,44.459999,44.610001,10652800,44.418627
2017-03-30,44.450001,44.75,44.369999,44.68,7792500,44.488326
2017-03-29,44.52,44.73,44.470001,44.52,10636200,44.329013
2017-03-28,44.830002,45.029999,44.66,44.689999,14008800,44.498282
2017-03-27,44.509998,44.93,44.360001,44.84,8933100,44.64764
2017-03-24,44.919998,45.09,44.580002,44.650002,13110200,44.458456
2017-03-23,44.68,45.060001,44.669998,44.950001,16190500,44.757169
2017-03-22,45.130001,45.450001,44.630001,44.790001,14339700,44.597855
2017-03-21,45.310001,45.400002,44.709999,44.84,21974500,44.64764
2017-03-20,45.669998,45.950001,45.16,45.23,21452600,45.035966
2017-03-17,45.25,45.98,45.110001,45.66,31688700,45.464122
2017-03-16,46.389999,46.990002,45.650002,45.73,67535400,45.533821
2017-03-15,42.900002,43.200001,42.639999,43.049999,18393200,42.865318
2017-03-14,42.580002,42.84,42.41,42.790001,10291000,42.606435
2017-03-13,42.75,42.779999,42.529999,42.580002,12440800,42.397337
2017-03-10,42.619999,42.689999,42.349998,42.68,12244500,42.496906
2017-03-09,42.630001,42.630001,42.25,42.439999,10308400,42.257934
2017-03-08,42.68,42.790001,42.509998,42.610001,9217100,42.427207
2017-03-07,42.580002,42.75,42.52,42.599998,9492900,42.417248
2017-03-06,42.459999,42.740002,42.299999,42.57,9196000,42.387378
2017-03-03,42.77,42.889999,42.59,42.689999,8917100,42.506862
2017-03-02,42.830002,42.93,42.630001,42.889999,9431600,42.706005
2017-03-01,42.75,43.00,42.689999,42.919998,11402200,42.735875
2017-02-28,42.619999,42.75,42.419998,42.59,14450300,42.407292
2017-02-27,43.259998,43.259998,42.52,42.700001,13876500,42.516821
2017-02-24,42.740002,43.189999,42.68,43.169998,11426700,42.984802
2017-02-23,42.560001,42.990002,42.50,42.959999,15484000,42.775704
2017-02-22,42.259998,42.52,42.130001,42.509998,11602800,42.327634
2017-02-21,41.990002,42.380001,41.93,42.27,12394700,42.088665
2017-02-17,41.540001,42.060001,41.50,42.060001,18545300,41.879567
2017-02-16,41.459999,41.740002,41.369999,41.59,10132700,41.411582
